Description	LabelReview.0	Effectivity.0	PartNumber	Rev.0	RevDescription.0	VariableData	variable.LotNo	variable.MfgDate	variable.REFNo	variable.SerialNo	variable.UseBy
"TXT, LBL, SHELF CTN, V9203"	6262		PC-6579-01A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, SHELF CTN, V9203EU"	6262		PC-6581-24A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, SHELF CTN, V9203UK"	6262		PC-6582-20A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, SHELF CTN, V9204AU"	6262		PC-6584-10A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, SHELF CTN, V9204UK"	6262		PC-6586-20A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, SHELF CTN, V9250B"	6262		PC-6587-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, SHELF CTN, V9233B"	6262		PC-6589-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, SHELF CTN, V9234B"	6262		PC-6590-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, SHELF CTN, V9251B"	6262		PC-6591-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, SHELF CTN, V9254B"	6262		PC-6592-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, SHELF CTN, WWV9230"	6262		PC-6594-01A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, SHELF CTN, WWV9230AU"	6262		PC-6595-10A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, SHELF CTN, WWV9230B"	6262		PC-6596-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, SHELF CTN, WWV9230E"	6262		PC-6597-24A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, SHELF CTN, WWV9230UK"	6262		PC-6598-20A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 1410A"	6262		PC-6630-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 71840A1"	6262		PC-6633-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 57703A3"	6262		PC-6634-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, WW3005"	6262		PC-6635-01A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 3005A"	6262		PC-6636-24A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 3005AU"	6262		PC-6637-10A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 3005UK"	6262		PC-6638-20A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, SHELF CTN, 58536A3"	6262		PC-6639-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 20496A9"	6262		PC-6640-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 9214HTL"	6262		PC-6641-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 9214HFL"	6262		PC-6642-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 20163A3"	6262		PC-6643-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 32343A32"	6262		PC-6644-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 58536A4"	6262		PC-6645-51A	100	RELEASE	Off	Off	true	Off	true	Off
